word,definition,class,newness
Ritualltag,"Ein Ritualltag ist ein striktes Festhalten an bestimmten Tagesabläufen.",blending,new
Mehrgebnis,"Ein Mehrergebnis ist das bessere Ergebnis, das durch mehr Arbeit erreicht wird",blending,new
Risikoffer,"Ein Risikokoffer ist ein zu voll gepackter Koffer",blending,new
Uformation,"Eine Uformation ist eine Information über unbekannte Flugobjekte",blending,new
Portornado,"Ein Portornado ist das plötzliche Umstoßen aller Portoregeln.",blending,new
Regenergie,"Eine Regenergie ist die Energieschaffung aus Regen.",blending,new
Demotionen,"Demotionen sind niederdrückende Emotionen.",blending,new
Froduktion,"Eine Froduktion ist die gutgelaunte Herstellung von Sachen.",blending,new
Bratschlag,"Ein Bratschlag ist ein Ratschlag fürs gute Anbraten von Dingen.",blending,new
Zuschlauer,"Ein Zuschlauer ist ein besserwisserischer Zuschauer.",blending,new
Vorderwelt,"Eine Vorderwelt ist die sichtbare, öffentliche Seite einer Gesellschaft.",compound,new
Sprunghaus,"Ein Sprunghaus ist ein Haus, von dem man Bungeejumping macht.",compound,new
Mondbrille,"Eine Mondbrille ist eine Brille mit mondrunden Gläsern.",compound,new
Chlortiger,"Ein Chlortiger ist ein Gigolo im Schwimmbad.",compound,new
Haarbalkon,"Ein Haarbalkon ist ein sehr dicker Pony.",compound,new
Opernfluch,"Ein Opernfluch ist ein Zuschauer, der ins Pianissimo hustet.",compound,new
Hosensocke,"Eine Hosensocke ist eine Socke passend zur Hose.",compound,new
Atomwaffel,"Eine Atomwaffel ist eine winzig kleine Waffel.",compound,new
Kugelmatte,"Eine Kugelmatte ist eine Bodenmatte für Wrestler.",compound,new
Schlafhund,"Ein Schlafhund ist ein unaufmerksamer Wachhund.",compound,new
Rockschaft,"Eine Rockschaft ist eine Vereinigung von Rockmusiker:innen.",derivation,new
Musealheit,"Musealheit bedeutet, dass etwas von der Art eines Museums ist.",derivation,new
Pechigkeit,"Pechigkeit bezeichnet eine Art von schwarzer Farbe.",derivation,new
Besserling,"Ein Besserling ist jemand, der alles besser macht oder machen will.",derivation,new
Behelfstum,"Behelfstum bezeichnet chronologisch provisorisch ausgeführte Arbeiten.",derivation,new
Bestrebnis,"Die Bestrebnis ist der Zustand des sich ständigen Bemühens.",derivation,new
Vergessung,"Die Vergessung versteht das Vergessen als ein Geschenk.",derivation,new
Quadrismus,"Der Quadrismus ist eine Kunstrichtung mit Quadern als wichtigster Form.",derivation,new
Bestrander,"Der Bestrander ist eine Maschine, die Sand auf den Strand sprüht.",derivation,new
Dekodorant,"Ein Dekodorant ist ein Mensch, der Dinge mit Dekoration überlädt.",derivation,new
Demokratur,"Eine Demokratur ist eine Mischung aus Demokratie und Diktatur.",blending,old
Infotainer,"Ein Infotainer ist eine Person, die Informationen unterhaltsam präsentiert.",blending,old
Bankfurter,"Bankfurter ist der Spitzname für einen Bankangestellten aus Frankfurt am Main.",blending,old
Netiquette,"Netiquette sind Verhaltensregeln für das Benehmen im Internet.",blending,old
Permalinks,"Permalinks sind permanente Links, die auf bestimmte Webseiten verweisen.",blending,old
Schlepptop,"Schlepptop ist die humorvolle Bezeichnung für einen tragbaren Computer.",blending,old
Maultasche,"Die Maultasche ist eine schwäbische Spezialität, gefüllt mit Fleisch oder Spinat.",compound,old
Damenschuh,"Ein Damenschuh ist ein Schuh, der speziell für Frauen entworfen ist.",compound,old
Motorhaube,"Die Motorhaube ist die Abdeckung des Motorraums bei Autos.",compound,old
Dachgarten,"Ein Dachgarten ist ein Garten, der auf einem Dach angelegt ist.",compound,old
Obsthandel,"Der Obsthandel ist der Handel mit Früchten.",compound,old
Fabelreich,"Das Fabelreich ist ein Reich, das in Fabeln oder Märchen beschrieben wird.",compound,old
Verbindung,"Eine Verbindung ist der Zustand, in dem zwei oder mehr Dinge zusammengeführt werden.",derivation,old
Fanatismus,"Fanatismus bezeichnet die übersteigerte Begeisterung für eine Idee.",derivation,old
Bekenntnis,"Eine Erklärung, in der man sich offen zu einer Überzeugung bekennt.",derivation,old
Robustheit,"Robustheit ist der Zustand, in dem etwas widerstandsfähig ist.",derivation,old
Beamtentum,"Beamtentum bezeichnet den Beruf oder Stand der Beamten.",derivation,old
Landschaft,"Als Landschaft bezeichnet man ein geografisches Gebiet mit charakteristischen Merkmalen und Aussehen.",derivation,old
